,y1_countyname,y1_state,y2_countyname,y2_state,n2_outflow,agi_perThou_outflow,agi_outflow,yr_range,year1,year2,mig_direction2,unique_tag,secondary_county
15866,Banks County,GA,Banks County Total Migration-US and Foreign,GA,1265,18347,18347000,1516,2015,2016,outflow,Banks County total migration-1516,"Banks County Total Migration-US and Foreign, GA"
15871,Banks County,GA,Jackson County,GA,325,5402,5402000,1516,2015,2016,outflow,Banks County-Jackson County-GA-1516,"Jackson County, GA"
15872,Banks County,GA,Habersham County,GA,352,3907,3907000,1516,2015,2016,outflow,Banks County-Habersham County-GA-1516,"Habersham County, GA"
15873,Banks County,GA,Hall County,GA,145,2445,2445000,1516,2015,2016,outflow,Banks County-Hall County-GA-1516,"Hall County, GA"
15874,Banks County,GA,Franklin County,GA,51,916,916000,1516,2015,2016,outflow,Banks County-Franklin County-GA-1516,"Franklin County, GA"
16914,Dawson County,GA,Dawson County Total Migration-US and Foreign,GA,1711,40480,40480000,1516,2015,2016,outflow,Dawson County total migration-1516,"Dawson County Total Migration-US and Foreign, GA"
16920,Dawson County,GA,Forsyth County,GA,449,11276,11276000,1516,2015,2016,outflow,Dawson County-Forsyth County-GA-1516,"Forsyth County, GA"
16921,Dawson County,GA,Lumpkin County,GA,256,4551,4551000,1516,2015,2016,outflow,Dawson County-Lumpkin County-GA-1516,"Lumpkin County, GA"
16922,Dawson County,GA,Hall County,GA,151,3015,3015000,1516,2015,2016,outflow,Dawson County-Hall County-GA-1516,"Hall County, GA"
16923,Dawson County,GA,Fulton County,GA,78,2820,2820000,1516,2015,2016,outflow,Dawson County-Fulton County-GA-1516,"Fulton County, GA"
16924,Dawson County,GA,Gwinnett County,GA,63,1393,1393000,1516,2015,2016,outflow,Dawson County-Gwinnett County-GA-1516,"Gwinnett County, GA"
16925,Dawson County,GA,Cherokee County,GA,65,1236,1236000,1516,2015,2016,outflow,Dawson County-Cherokee County-GA-1516,"Cherokee County, GA"
17964,Habersham County,GA,Habersham County Total Migration-US and Foreign,GA,1681,31194,31194000,1516,2015,2016,outflow,Habersham County total migration-1516,"Habersham County Total Migration-US and Foreign, GA"
17970,Habersham County,GA,Hall County,GA,273,4934,4934000,1516,2015,2016,outflow,Habersham County-Hall County-GA-1516,"Hall County, GA"
17971,Habersham County,GA,White County,GA,173,3420,3420000,1516,2015,2016,outflow,Habersham County-White County-GA-1516,"White County, GA"
17972,Habersham County,GA,Banks County,GA,208,2719,2719000,1516,2015,2016,outflow,Habersham County-Banks County-GA-1516,"Banks County, GA"
17973,Habersham County,GA,Stephens County,GA,126,1804,1804000,1516,2015,2016,outflow,Habersham County-Stephens County-GA-1516,"Stephens County, GA"
17974,Habersham County,GA,Gwinnett County,GA,52,1354,1354000,1516,2015,2016,outflow,Habersham County-Gwinnett County-GA-1516,"Gwinnett County, GA"
17975,Habersham County,GA,Lumpkin County,GA,50,514,514000,1516,2015,2016,outflow,Habersham County-Lumpkin County-GA-1516,"Lumpkin County, GA"
17976,Habersham County,GA,Clarke County,GA,40,759,759000,1516,2015,2016,outflow,Habersham County-Clarke County-GA-1516,"Clarke County, GA"
17977,Habersham County,GA,Rabun County,GA,52,830,830000,1516,2015,2016,outflow,Habersham County-Rabun County-GA-1516,"Rabun County, GA"
17985,Hall County,GA,Hall County Total Migration-US and Foreign,GA,8895,228981,228981000,1516,2015,2016,outflow,Hall County total migration-1516,"Hall County Total Migration-US and Foreign, GA"
17991,Hall County,GA,Gwinnett County,GA,1620,44363,44363000,1516,2015,2016,outflow,Hall County-Gwinnett County-GA-1516,"Gwinnett County, GA"
17992,Hall County,GA,Jackson County,GA,784,19373,19373000,1516,2015,2016,outflow,Hall County-Jackson County-GA-1516,"Jackson County, GA"
17993,Hall County,GA,Forsyth County,GA,489,13728,13728000,1516,2015,2016,outflow,Hall County-Forsyth County-GA-1516,"Forsyth County, GA"
17994,Hall County,GA,Barrow County,GA,384,7171,7171000,1516,2015,2016,outflow,Hall County-Barrow County-GA-1516,"Barrow County, GA"
17995,Hall County,GA,Fulton County,GA,249,9153,9153000,1516,2015,2016,outflow,Hall County-Fulton County-GA-1516,"Fulton County, GA"
17996,Hall County,GA,DeKalb County,GA,229,7604,7604000,1516,2015,2016,outflow,Hall County-DeKalb County-GA-1516,"DeKalb County, GA"
17997,Hall County,GA,White County,GA,311,4608,4608000,1516,2015,2016,outflow,Hall County-White County-GA-1516,"White County, GA"
17998,Hall County,GA,Habersham County,GA,281,4780,4780000,1516,2015,2016,outflow,Hall County-Habersham County-GA-1516,"Habersham County, GA"
17999,Hall County,GA,Lumpkin County,GA,244,4595,4595000,1516,2015,2016,outflow,Hall County-Lumpkin County-GA-1516,"Lumpkin County, GA"
18000,Hall County,GA,Cobb County,GA,144,4559,4559000,1516,2015,2016,outflow,Hall County-Cobb County-GA-1516,"Cobb County, GA"
18001,Hall County,GA,Banks County,GA,190,2849,2849000,1516,2015,2016,outflow,Hall County-Banks County-GA-1516,"Banks County, GA"
18002,Hall County,GA,Clarke County,GA,127,2253,2253000,1516,2015,2016,outflow,Hall County-Clarke County-GA-1516,"Clarke County, GA"
18003,Hall County,GA,Dawson County,GA,148,3332,3332000,1516,2015,2016,outflow,Hall County-Dawson County-GA-1516,"Dawson County, GA"
18004,Hall County,GA,Walton County,GA,70,1278,1278000,1516,2015,2016,outflow,Hall County-Walton County-GA-1516,"Walton County, GA"
18005,Hall County,GA,Cherokee County,GA,55,1630,1630000,1516,2015,2016,outflow,Hall County-Cherokee County-GA-1516,"Cherokee County, GA"
18006,Hall County,GA,Franklin County,GA,47,1333,1333000,1516,2015,2016,outflow,Hall County-Franklin County-GA-1516,"Franklin County, GA"
18214,Jackson County,GA,Jackson County Total Migration-US and Foreign,GA,3779,82721,82721000,1516,2015,2016,outflow,Jackson County total migration-1516,"Jackson County Total Migration-US and Foreign, GA"
18220,Jackson County,GA,Hall County,GA,545,11539,11539000,1516,2015,2016,outflow,Jackson County-Hall County-GA-1516,"Hall County, GA"
18221,Jackson County,GA,Barrow County,GA,439,8257,8257000,1516,2015,2016,outflow,Jackson County-Barrow County-GA-1516,"Barrow County, GA"
18222,Jackson County,GA,Clarke County,GA,371,7710,7710000,1516,2015,2016,outflow,Jackson County-Clarke County-GA-1516,"Clarke County, GA"
18223,Jackson County,GA,Gwinnett County,GA,391,10864,10864000,1516,2015,2016,outflow,Jackson County-Gwinnett County-GA-1516,"Gwinnett County, GA"
18224,Jackson County,GA,Banks County,GA,279,4925,4925000,1516,2015,2016,outflow,Jackson County-Banks County-GA-1516,"Banks County, GA"
18225,Jackson County,GA,Madison County,GA,176,3156,3156000,1516,2015,2016,outflow,Jackson County-Madison County-GA-1516,"Madison County, GA"
18226,Jackson County,GA,Franklin County,GA,130,1452,1452000,1516,2015,2016,outflow,Jackson County-Franklin County-GA-1516,"Franklin County, GA"
18227,Jackson County,GA,Cobb County,GA,41,975,975000,1516,2015,2016,outflow,Jackson County-Cobb County-GA-1516,"Cobb County, GA"
18228,Jackson County,GA,Oconee County,GA,76,2408,2408000,1516,2015,2016,outflow,Jackson County-Oconee County-GA-1516,"Oconee County, GA"
18229,Jackson County,GA,Walton County,GA,55,853,853000,1516,2015,2016,outflow,Jackson County-Walton County-GA-1516,"Walton County, GA"
18230,Jackson County,GA,DeKalb County,GA,36,888,888000,1516,2015,2016,outflow,Jackson County-DeKalb County-GA-1516,"DeKalb County, GA"
18231,Jackson County,GA,Stephens County,GA,51,810,810000,1516,2015,2016,outflow,Jackson County-Stephens County-GA-1516,"Stephens County, GA"
18232,Jackson County,GA,Forsyth County,GA,37,1098,1098000,1516,2015,2016,outflow,Jackson County-Forsyth County-GA-1516,"Forsyth County, GA"
18233,Jackson County,GA,Fulton County,GA,50,1141,1141000,1516,2015,2016,outflow,Jackson County-Fulton County-GA-1516,"Fulton County, GA"
18234,Jackson County,GA,Habersham County,GA,55,1082,1082000,1516,2015,2016,outflow,Jackson County-Habersham County-GA-1516,"Habersham County, GA"
18523,Lumpkin County,GA,Lumpkin County Total Migration-US and Foreign,GA,1732,32508,32508000,1516,2015,2016,outflow,Lumpkin County total migration-1516,"Lumpkin County Total Migration-US and Foreign, GA"
18529,Lumpkin County,GA,Hall County,GA,307,6157,6157000,1516,2015,2016,outflow,Lumpkin County-Hall County-GA-1516,"Hall County, GA"
18530,Lumpkin County,GA,Forsyth County,GA,162,3862,3862000,1516,2015,2016,outflow,Lumpkin County-Forsyth County-GA-1516,"Forsyth County, GA"
18531,Lumpkin County,GA,Dawson County,GA,164,3169,3169000,1516,2015,2016,outflow,Lumpkin County-Dawson County-GA-1516,"Dawson County, GA"
18532,Lumpkin County,GA,White County,GA,148,1833,1833000,1516,2015,2016,outflow,Lumpkin County-White County-GA-1516,"White County, GA"
18533,Lumpkin County,GA,Gwinnett County,GA,52,703,703000,1516,2015,2016,outflow,Lumpkin County-Gwinnett County-GA-1516,"Gwinnett County, GA"
18534,Lumpkin County,GA,Fulton County,GA,38,1567,1567000,1516,2015,2016,outflow,Lumpkin County-Fulton County-GA-1516,"Fulton County, GA"
18535,Lumpkin County,GA,Habersham County,GA,35,536,536000,1516,2015,2016,outflow,Lumpkin County-Habersham County-GA-1516,"Habersham County, GA"
19634,White County,GA,White County Total Migration-US and Foreign,GA,1302,27306,27306000,1516,2015,2016,outflow,White County total migration-1516,"White County Total Migration-US and Foreign, GA"
19640,White County,GA,Hall County,GA,277,5012,5012000,1516,2015,2016,outflow,White County-Hall County-GA-1516,"Hall County, GA"
19641,White County,GA,Habersham County,GA,217,3988,3988000,1516,2015,2016,outflow,White County-Habersham County-GA-1516,"Habersham County, GA"
19642,White County,GA,Lumpkin County,GA,111,2184,2184000,1516,2015,2016,outflow,White County-Lumpkin County-GA-1516,"Lumpkin County, GA"
19643,White County,GA,Gwinnett County,GA,35,837,837000,1516,2015,2016,outflow,White County-Gwinnett County-GA-1516,"Gwinnett County, GA"
105538,Banks County,GA,Banks County Total Migration-US and Foreign,GA,1353,26687,26687000,1617,2016,2017,outflow,Banks County total migration-1617,"Banks County Total Migration-US and Foreign, GA"
105543,Banks County,GA,Jackson County,GA,318,5290,5290000,1617,2016,2017,outflow,Banks County-Jackson County-GA-1617,"Jackson County, GA"
105544,Banks County,GA,Habersham County,GA,281,5156,5156000,1617,2016,2017,outflow,Banks County-Habersham County-GA-1617,"Habersham County, GA"
105545,Banks County,GA,Hall County,GA,178,6324,6324000,1617,2016,2017,outflow,Banks County-Hall County-GA-1617,"Hall County, GA"
105546,Banks County,GA,Franklin County,GA,99,1092,1092000,1617,2016,2017,outflow,Banks County-Franklin County-GA-1617,"Franklin County, GA"
105547,Banks County,GA,Clarke County,GA,40,578,578000,1617,2016,2017,outflow,Banks County-Clarke County-GA-1617,"Clarke County, GA"
105548,Banks County,GA,Madison County,GA,46,644,644000,1617,2016,2017,outflow,Banks County-Madison County-GA-1617,"Madison County, GA"
106782,Dawson County,GA,Dawson County Total Migration-US and Foreign,GA,2115,66781,66781000,1617,2016,2017,outflow,Dawson County total migration-1617,"Dawson County Total Migration-US and Foreign, GA"
106787,Dawson County,GA,Forsyth County,GA,619,14314,14314000,1617,2016,2017,outflow,Dawson County-Forsyth County-GA-1617,"Forsyth County, GA"
106788,Dawson County,GA,Lumpkin County,GA,340,7916,7916000,1617,2016,2017,outflow,Dawson County-Lumpkin County-GA-1617,"Lumpkin County, GA"
106789,Dawson County,GA,Hall County,GA,172,5570,5570000,1617,2016,2017,outflow,Dawson County-Hall County-GA-1617,"Hall County, GA"
106790,Dawson County,GA,Cherokee County,GA,89,2789,2789000,1617,2016,2017,outflow,Dawson County-Cherokee County-GA-1617,"Cherokee County, GA"
106791,Dawson County,GA,Fulton County,GA,68,2830,2830000,1617,2016,2017,outflow,Dawson County-Fulton County-GA-1617,"Fulton County, GA"
106792,Dawson County,GA,Pickens County,GA,68,1375,1375000,1617,2016,2017,outflow,Dawson County-Pickens County-GA-1617,"Pickens County, GA"
106793,Dawson County,GA,Gwinnett County,GA,48,1105,1105000,1617,2016,2017,outflow,Dawson County-Gwinnett County-GA-1617,"Gwinnett County, GA"
106794,Dawson County,GA,DeKalb County,GA,32,885,885000,1617,2016,2017,outflow,Dawson County-DeKalb County-GA-1617,"DeKalb County, GA"
106795,Dawson County,GA,Cobb County,GA,38,1040,1040000,1617,2016,2017,outflow,Dawson County-Cobb County-GA-1617,"Cobb County, GA"
107994,Habersham County,GA,Habersham County Total Migration-US and Foreign,GA,2424,48451,48451000,1617,2016,2017,outflow,Habersham County total migration-1617,"Habersham County Total Migration-US and Foreign, GA"
108000,Habersham County,GA,Hall County,GA,300,7072,7072000,1617,2016,2017,outflow,Habersham County-Hall County-GA-1617,"Hall County, GA"
108001,Habersham County,GA,Banks County,GA,284,3703,3703000,1617,2016,2017,outflow,Habersham County-Banks County-GA-1617,"Banks County, GA"
108002,Habersham County,GA,Stephens County,GA,252,5125,5125000,1617,2016,2017,outflow,Habersham County-Stephens County-GA-1617,"Stephens County, GA"
108003,Habersham County,GA,White County,GA,243,3860,3860000,1617,2016,2017,outflow,Habersham County-White County-GA-1617,"White County, GA"
108004,Habersham County,GA,Jackson County,GA,72,1387,1387000,1617,2016,2017,outflow,Habersham County-Jackson County-GA-1617,"Jackson County, GA"
108005,Habersham County,GA,Franklin County,GA,65,1118,1118000,1617,2016,2017,outflow,Habersham County-Franklin County-GA-1617,"Franklin County, GA"
108006,Habersham County,GA,Gwinnett County,GA,58,1148,1148000,1617,2016,2017,outflow,Habersham County-Gwinnett County-GA-1617,"Gwinnett County, GA"
108007,Habersham County,GA,Rabun County,GA,62,1531,1531000,1617,2016,2017,outflow,Habersham County-Rabun County-GA-1617,"Rabun County, GA"
108015,Hall County,GA,Hall County Total Migration-US and Foreign,GA,12066,338877,338877000,1617,2016,2017,outflow,Hall County total migration-1617,"Hall County Total Migration-US and Foreign, GA"
108021,Hall County,GA,Gwinnett County,GA,2080,62836,62836000,1617,2016,2017,outflow,Hall County-Gwinnett County-GA-1617,"Gwinnett County, GA"
108022,Hall County,GA,Jackson County,GA,1285,32081,32081000,1617,2016,2017,outflow,Hall County-Jackson County-GA-1617,"Jackson County, GA"
108023,Hall County,GA,Forsyth County,GA,628,21712,21712000,1617,2016,2017,outflow,Hall County-Forsyth County-GA-1617,"Forsyth County, GA"
108024,Hall County,GA,Barrow County,GA,579,12805,12805000,1617,2016,2017,outflow,Hall County-Barrow County-GA-1617,"Barrow County, GA"
108025,Hall County,GA,White County,GA,483,9968,9968000,1617,2016,2017,outflow,Hall County-White County-GA-1617,"White County, GA"
108026,Hall County,GA,Fulton County,GA,311,15830,15830000,1617,2016,2017,outflow,Hall County-Fulton County-GA-1617,"Fulton County, GA"
108027,Hall County,GA,Habersham County,GA,451,9281,9281000,1617,2016,2017,outflow,Hall County-Habersham County-GA-1617,"Habersham County, GA"
108028,Hall County,GA,Lumpkin County,GA,347,6603,6603000,1617,2016,2017,outflow,Hall County-Lumpkin County-GA-1617,"Lumpkin County, GA"
108029,Hall County,GA,DeKalb County,GA,248,7062,7062000,1617,2016,2017,outflow,Hall County-DeKalb County-GA-1617,"DeKalb County, GA"
108030,Hall County,GA,Banks County,GA,255,5726,5726000,1617,2016,2017,outflow,Hall County-Banks County-GA-1617,"Banks County, GA"
108031,Hall County,GA,Clarke County,GA,199,3754,3754000,1617,2016,2017,outflow,Hall County-Clarke County-GA-1617,"Clarke County, GA"
108032,Hall County,GA,Cobb County,GA,175,5553,5553000,1617,2016,2017,outflow,Hall County-Cobb County-GA-1617,"Cobb County, GA"
108033,Hall County,GA,Dawson County,GA,212,4544,4544000,1617,2016,2017,outflow,Hall County-Dawson County-GA-1617,"Dawson County, GA"
108034,Hall County,GA,Walton County,GA,115,3328,3328000,1617,2016,2017,outflow,Hall County-Walton County-GA-1617,"Walton County, GA"
108035,Hall County,GA,Cherokee County,GA,102,3340,3340000,1617,2016,2017,outflow,Hall County-Cherokee County-GA-1617,"Cherokee County, GA"
108036,Hall County,GA,Stephens County,GA,94,1794,1794000,1617,2016,2017,outflow,Hall County-Stephens County-GA-1617,"Stephens County, GA"
108037,Hall County,GA,Franklin County,GA,73,874,874000,1617,2016,2017,outflow,Hall County-Franklin County-GA-1617,"Franklin County, GA"
108038,Hall County,GA,Pinellas County,FL,44,835,835000,1617,2016,2017,outflow,Hall County-Pinellas County-FL-1617,"Pinellas County, FL"
108039,Hall County,GA,Maricopa County,AZ,44,1961,1961000,1617,2016,2017,outflow,Hall County-Maricopa County-AZ-1617,"Maricopa County, AZ"
108040,Hall County,GA,Hart County,GA,46,1776,1776000,1617,2016,2017,outflow,Hall County-Hart County-GA-1617,"Hart County, GA"
108041,Hall County,GA,Greenville County,SC,59,1711,1711000,1617,2016,2017,outflow,Hall County-Greenville County-SC-1617,"Greenville County, SC"
108042,Hall County,GA,Chatham County,GA,45,1162,1162000,1617,2016,2017,outflow,Hall County-Chatham County-GA-1617,"Chatham County, GA"
108043,Hall County,GA,Oconee County,GA,48,1842,1842000,1617,2016,2017,outflow,Hall County-Oconee County-GA-1617,"Oconee County, GA"
108044,Hall County,GA,Coweta County,GA,45,1072,1072000,1617,2016,2017,outflow,Hall County-Coweta County-GA-1617,"Coweta County, GA"
108045,Hall County,GA,Duval County,FL,38,686,686000,1617,2016,2017,outflow,Hall County-Duval County-FL-1617,"Duval County, FL"
108046,Hall County,GA,Volusia County,FL,39,1738,1738000,1617,2016,2017,outflow,Hall County-Volusia County-FL-1617,"Volusia County, FL"
108047,Hall County,GA,Gilmer County,GA,41,968,968000,1617,2016,2017,outflow,Hall County-Gilmer County-GA-1617,"Gilmer County, GA"
108048,Hall County,GA,Henry County,GA,31,1550,1550000,1617,2016,2017,outflow,Hall County-Henry County-GA-1617,"Henry County, GA"
108049,Hall County,GA,Rabun County,GA,34,1461,1461000,1617,2016,2017,outflow,Hall County-Rabun County-GA-1617,"Rabun County, GA"
108050,Hall County,GA,Harris County,TX,45,788,788000,1617,2016,2017,outflow,Hall County-Harris County-TX-1617,"Harris County, TX"
108282,Jackson County,GA,Jackson County Total Migration-US and Foreign,GA,5317,127368,127368000,1617,2016,2017,outflow,Jackson County total migration-1617,"Jackson County Total Migration-US and Foreign, GA"
108288,Jackson County,GA,Hall County,GA,687,14870,14870000,1617,2016,2017,outflow,Jackson County-Hall County-GA-1617,"Hall County, GA"
108289,Jackson County,GA,Gwinnett County,GA,577,13685,13685000,1617,2016,2017,outflow,Jackson County-Gwinnett County-GA-1617,"Gwinnett County, GA"
108290,Jackson County,GA,Clarke County,GA,452,9332,9332000,1617,2016,2017,outflow,Jackson County-Clarke County-GA-1617,"Clarke County, GA"
